block,neuron,n_dominant,recall_omp,recall_dual,recall_increment,mean_prominence,mean_raw_survival,mean_abs_coef,max_coherence,write_norm
0,104,42,1.0,1.0,1.0,0.3903,1.902,14.5485,0.4664,3.1954
0,132,809,0.6576,0.9975,1.0,0.3326,2.7734,12.8596,0.7528,3.4015
0,137,24,0.75,0.875,1.0,0.2653,1.9505,12.4324,0.6906,2.8156
0,154,129,0.9225,0.9535,1.0,0.2953,2.4676,9.1136,0.4858,2.6492
0,199,24,1.0,1.0,1.0,0.4021,2.2214,10.4574,0.5615,2.2722
0,210,27,1.0,1.0,1.0,0.2812,1.7485,11.4147,0.5006,2.7683
0,399,69,0.9565,1.0,1.0,0.3416,2.0909,11.567,0.5252,2.9815
0,446,39,0.0256,0.0,0.0256,0.0909,-1.3069,10.9338,0.7518,3.131
0,504,153,0.9346,1.0,1.0,0.4264,2.544,12.6927,0.5974,2.9538
0,559,27,1.0,0.963,1.0,0.2805,2.5687,10.5644,0.5933,2.8772
0,574,54,0.1111,0.537,1.0,0.2029,1.9063,9.115,0.5762,2.6718
0,584,76,0.9605,1.0,1.0,0.4467,2.1759,13.0175,0.6255,2.9178
0,702,80,1.0,1.0,1.0,0.323,2.7377,9.8546,0.4869,2.5553
0,753,133,1.0,1.0,1.0,0.4084,2.3836,15.3061,0.6788,2.9631
0,841,85,0.9882,0.9882,1.0,0.4512,2.2382,15.0971,0.5994,3.0355
0,850,31,0.9677,1.0,1.0,0.3152,2.4428,10.8265,0.4174,2.6709
0,874,255,0.5569,1.0,1.0,0.3434,2.8456,10.6718,0.5794,2.9343
0,887,84,0.9881,1.0,1.0,0.391,2.7058,11.5009,0.5653,2.8735
0,908,137,0.1533,0.8029,0.927,0.197,2.9215,9.3921,0.5787,2.6738
0,1024,154,1.0,1.0,1.0,0.475,1.6373,18.2628,0.4441,3.3356
0,1059,89,0.4831,1.0,1.0,0.3623,2.9737,10.7752,0.7861,2.9521
0,1115,80,0.425,1.0,0.7375,0.2586,3.0,8.1155,0.858,3.3661
0,1133,80,1.0,1.0,1.0,0.3488,2.0171,14.9061,0.4578,2.976
0,1175,200,0.31,0.81,0.71,0.2264,2.0065,9.4364,0.9301,2.9328
0,1218,196,0.852,1.0,1.0,0.3327,2.9131,10.7935,0.6001,3.1022
0,1241,21,1.0,1.0,1.0,0.3476,2.274,10.0616,0.4291,2.3137
0,1344,50,0.32,0.96,0.72,0.2507,2.9987,8.362,0.858,3.6373
0,1368,23,0.7826,0.7826,1.0,0.2714,2.6655,8.5527,0.6928,2.4814
0,1389,43,0.6512,1.0,1.0,0.3326,2.6421,10.2983,0.4575,2.6479
0,1444,37,0.7568,0.973,1.0,0.2627,2.6294,9.206,0.3346,2.6458
0,1451,161,0.9068,1.0,1.0,0.3965,2.1369,15.4812,0.5976,3.1423
0,1558,20,0.7,0.75,1.0,0.2333,3.0,8.5019,0.4441,2.5362
0,1561,188,0.6915,0.6223,1.0,0.1837,1.654,8.7088,0.313,2.0417
0,1567,161,1.0,1.0,1.0,0.3717,2.3554,14.463,0.5772,3.1619
0,1635,20,0.9,0.95,1.0,0.3141,2.2657,10.3343,0.3383,2.6049
0,1747,298,0.151,0.9933,0.6208,0.2386,3.0,7.6986,0.8386,3.5521
0,1787,106,0.5377,0.9434,1.0,0.3091,2.2375,10.5768,0.459,2.5955
0,1843,30,0.5667,0.9667,1.0,0.2586,2.8762,8.6958,0.4441,2.4568
0,1846,112,0.9643,0.9643,1.0,0.373,2.0047,14.2326,0.6105,3.003
0,1899,349,0.9914,0.9914,1.0,0.419,2.543,13.7768,0.6245,3.1712
0,1981,63,0.3175,0.1905,0.619,0.14,1.3891,8.0544,0.8729,2.3393
0,1992,127,1.0,1.0,1.0,0.3945,1.8122,14.8009,0.4287,2.79
0,1993,20,0.0,0.0,0.2,0.0773,0.3499,8.822,0.9691,2.8962
0,1997,66,0.7727,0.9545,1.0,0.3371,1.6035,13.389,0.5495,3.1591
0,2054,415,0.9735,0.9928,1.0,0.3074,1.8648,10.1444,0.4164,2.5972
0,2079,35,0.6857,1.0,1.0,0.2777,2.156,11.0909,0.525,2.7787
0,2102,452,0.2035,1.0,0.8208,0.2631,2.9846,9.0215,0.8655,3.5667
0,2116,64,0.1094,1.0,1.0,0.3429,2.4424,8.4227,0.5743,2.4346
0,2149,34,0.9706,1.0,1.0,0.2892,1.4792,10.6725,0.4678,2.5131
0,2298,71,0.8592,0.8873,1.0,0.273,2.623,9.7623,0.5351,2.9263
0,2310,211,1.0,0.8104,1.0,0.3426,2.2687,13.4503,0.4786,2.8893
