block,neuron,n_dominant,recall_omp,recall_dual,recall_increment,mean_prominence,mean_raw_survival,mean_abs_coef,max_coherence,write_norm
0,17,64,1.0,1.0,1.0,0.435,2.7046,27.935,0.4428,4.6731
0,28,50,0.72,1.0,1.0,0.3557,3.0,17.0522,0.6209,4.8599
0,68,432,1.0,1.0,1.0,0.3751,2.9758,17.6609,0.3474,4.5431
0,97,82,1.0,1.0,1.0,0.3857,3.0,15.8632,0.5007,3.3378
0,124,82,1.0,1.0,1.0,0.4339,2.9123,21.7554,0.4266,4.4406
0,156,20,1.0,1.0,1.0,0.4145,3.0,16.8843,0.403,4.759
0,159,74,1.0,1.0,1.0,0.4068,2.9137,23.2867,0.4167,4.6273
0,168,98,0.9796,0.9898,1.0,0.3847,2.8299,22.1808,0.394,4.8871
0,173,78,0.6923,1.0,1.0,0.3909,3.0,21.1203,0.6195,3.204
0,223,157,1.0,1.0,1.0,0.3791,2.7821,23.899,0.4759,3.8626
0,243,232,0.9957,1.0,1.0,0.3545,2.9124,26.8761,0.4354,4.2491
0,279,44,0.9318,1.0,1.0,0.2615,2.97,13.9143,0.229,4.6369
0,282,45,1.0,1.0,1.0,0.3845,2.9505,19.8081,0.6592,4.9376
0,284,51,0.8235,1.0,1.0,0.3058,3.0,14.3634,0.4275,4.1594
0,289,32,0.875,1.0,1.0,0.2805,2.7281,18.7848,0.5081,4.6883
0,298,39,1.0,1.0,1.0,0.3528,2.5631,21.2429,0.3473,4.7212
0,341,35,1.0,1.0,1.0,0.4265,3.0,18.7976,0.5402,4.8099
0,387,274,0.9891,1.0,1.0,0.3793,3.0,12.1355,0.5936,4.0361
0,430,73,0.9726,1.0,1.0,0.3723,2.4961,23.1174,0.7386,5.0904
0,497,35,1.0,1.0,1.0,0.3651,3.0,15.4315,0.2778,4.4723
0,531,32,0.8125,1.0,1.0,0.3134,2.939,13.6536,0.4866,4.3994
0,661,30,1.0,1.0,1.0,0.4449,2.9999,19.7056,0.3521,4.4872
0,681,169,1.0,1.0,1.0,0.428,2.5984,28.3979,0.3619,4.6362
0,713,210,1.0,1.0,1.0,0.4445,3.0,19.4638,0.5038,3.9778
0,721,21,1.0,1.0,1.0,0.3756,2.9975,20.6093,0.2333,4.6944
0,767,271,1.0,1.0,1.0,0.3882,2.7487,21.1889,0.4756,4.2831
0,772,38,1.0,1.0,1.0,0.3365,2.9967,17.9386,0.3183,4.7431
